epoch,test_mean_ep_len,test_mean_ep_ret
1,200.0,-1262.427058724756
2,200.0,-1343.0339099933528
3,200.0,-704.6447500593855
4,200.0,-265.3250301533075
5,200.0,-187.51375920075222
6,200.0,-123.55929395794752
7,200.0,-162.05198338618877
8,200.0,-157.39099555548555
9,200.0,-146.8582281055111
10,200.0,-163.22737932097846
11,200.0,-108.54611327669909
12,200.0,-154.75161013104292
13,200.0,-135.14854776472822
14,200.0,-167.50151736377856
15,200.0,-200.36188306471777
16,200.0,-155.393366667686
17,200.0,-126.36327684213504
18,200.0,-162.0384440454904
19,200.0,-178.46059503415
20,200.0,-180.50148345203402
21,200.0,-131.381729152051
22,200.0,-92.46638547764165
23,200.0,-168.4397572671064
24,200.0,-157.9264895142146
25,200.0,-134.86888372326283
26,200.0,-100.77644094909238
27,200.0,-169.1868359264957
28,200.0,-167.99403431722067
29,200.0,-169.04244347127172
30,200.0,-144.98356917796502
31,200.0,-160.68074022281186
32,200.0,-106.56500394109351
33,200.0,-165.13716780190177
34,200.0,-160.08150979392013
35,200.0,-182.72819382509246
36,200.0,-146.0804011942044
37,200.0,-155.0727594850195
38,200.0,-158.34328253383
39,200.0,-107.70617330860566
40,200.0,-133.74299708897018
41,200.0,-133.4078563647322
42,200.0,-211.6530764794211
43,200.0,-167.17559263770823
44,200.0,-134.43470963172746
45,200.0,-156.35604752474097
46,200.0,-154.53734350786118
47,200.0,-128.82940744939592
48,200.0,-143.93661904385294
49,200.0,-122.53077646812649
50,200.0,-170.9192732220306
51,200.0,-142.64837804995148
52,200.0,-110.340417478566
53,200.0,-169.05416460199916
54,200.0,-122.18845315126416
55,200.0,-150.8633464376052
56,200.0,-108.93566478347024
57,200.0,-167.97641703173028
58,200.0,-156.74059190545137
59,200.0,-107.99206974252965
60,200.0,-119.57198427818489
61,200.0,-118.31361079613353
62,200.0,-111.43080480443282
63,200.0,-141.81032681832735
64,200.0,-184.39992053015197
65,200.0,-160.70596241155812
66,200.0,-123.80346558998008
67,200.0,-167.11389827009998
68,200.0,-112.54101448637138
69,200.0,-130.65447004370168
70,200.0,-131.67247898962881
71,200.0,-144.94743567439457
72,200.0,-99.31936220328507
73,200.0,-110.67480923092793
74,200.0,-110.6066336232748
75,200.0,-161.7204247037317
76,200.0,-183.3113967238212
77,200.0,-150.94197166227588
78,200.0,-145.13712870343485
79,200.0,-96.67955934381301
80,200.0,-180.78085321004318
81,200.0,-193.7109117290248
82,200.0,-135.78446379708146
83,200.0,-201.85028814717737
84,200.0,-156.03634689736515
85,200.0,-131.28864699437352
86,200.0,-98.06753967581403
87,200.0,-139.43443965382002
88,200.0,-156.8527246087919
89,200.0,-128.53366670017883
90,200.0,-156.2938892982918
91,200.0,-142.26339443793955
92,200.0,-143.6307154394985
93,200.0,-185.77870735870093
94,200.0,-181.81606452586553
95,200.0,-157.09549835905892
96,200.0,-175.52289785004822
97,200.0,-122.28447847142024
98,200.0,-99.84199418034562
99,200.0,-111.38616486798594
100,200.0,-174.6763385428954
